Time /s	Absorbance (460 nm)
10.131	0.02677
20.133	0.03561
30.265	0.04454
40.325	0.05334
50.601	0.06227
60.774	0.07105
70.776	0.07962
81.161	0.08845
91.39	0.09707
101.77	0.10576
112.22	0.11443
122.47	0.12287
132.92	0.13141
143.55	0.14002
154.27	0.14863
165	0.15717
175.6	0.16555
185.98	0.17368
196.04	0.18149
206.65	0.18967
216.8	0.19742
227.45	0.20551
237.49	0.21306
247.99	0.2209
258.96	0.22903
269.14	0.2365
279.72	0.24423
290.74	0.2522
300.75	0.25939
311.13	0.26679
321.87	0.2744
333	0.28222
344.53	0.29026
354.75	0.29733
365.28	0.30458
376.15	0.312
387.35	0.3196
398.91	0.32738
410.83	0.33535
421.05	0.34214
431.54	0.34906
442.31	0.35612
453.36	0.36332
464.7	0.37067
476.35	0.37816
488.3	0.38579
500.58	0.39358
510.64	0.39993
520.91	0.40637
531.41	0.41291
542.13	0.41956
553.09	0.42631
564.28	0.43317
575.72	0.44014
587.41	0.44721
599.36	0.4544
611.58	0.4617
624.07	0.46911
636.83	0.47664
649.89	0.48429
663.24	0.49206
673.45	0.49797
683.84	0.50395
694.4	0.50999
705.15	0.51611
716.09	0.5223
727.21	0.52856
738.54	0.5349
750.06	0.54131
761.79	0.54779
773.73	0.55435
785.89	0.56099
798.27	0.56771
810.88	0.5745
823.73	0.58137
836.83	0.58832
850.18	0.59535
863.8	0.60246
877.69	0.60964
891.87	0.6169
906.35	0.62423
921.1	0.63159
936.03	0.63891
950.58	0.64587
961.09	0.6507
971.1	0.60171
981.1	0.03052
991.12	0.00422
1001.1	0.00267
1011.7	0.00263
1022.6	0.00272
1033.4	0.00283
1044.9	0.00296
1055.8	0.00311
1067.7	0.00328
1078	0.00345
1089.1	0.00364
1101	0.00386
1113.8	0.00411
1124	0.00432
1134.8	0.00455
1146.3	0.00481
1158.4	0.00508
1171.3	0.00538
1184.9	0.0057
1199.5	0.00603
1209.6	0.00627
1220.3	0.00651
1231.3	0.00676
1242.9	0.007
1255	0.00725
1267.7	0.00749
1280.9	0.00772
1294.7	0.00794
1309.2	0.00814
1324.2	0.00832
1339.7	0.00847
1355.7	0.00859
1372.1	0.00869
1388.7	0.00877
1405.6	0.00883
1422.8	0.00888
1440.2	0.00892
1457.9	0.00895
1475.9	0.00898
1494.5	0.009
1513.6	0.00902
1533.4	0.00903
1554	0.00905
1575.5	0.00906
1598.3	0.00908
1622.3	0.00909
1647.9	0.00911
1675.3	0.00913
1704.7	0.00914
1736.4	0.00916
1770.6	0.00918
1807.5	0.0092
1847.4	0.00922
1890.1	0.00924
1935.7	0.00927
1983.6	0.00929
2033.4	0.00932
2084.4	0.00934
2135.9	0.00937
2187	0.00939
2237.2	0.00942
2285.9	0.00944
2332.7	0.00946
2377.3	0.00948
2419.4	0.0095
2458.9	0.00952
2495.6	0.00953
2529.4	0.00955
2560.5	0.00957
2588.8	0.00957
2614.4	0.00958
2637.4	0.0096
2657.8	0.00961
2676	0.00961
2692	0.0096
2706.1	0.0096
2718.4	0.00963
2729.3	0.00965
2743.1	0.00968
2754.5	0.00968
2766.8	0.00965
2779	0.0096
2790.5	0.00958
2802	0.00959
2812.8	0.00965
2822.9	0.00973
2834.6	0.00981
2846.5	0.00983
2858.4	0.00975
2869.2	0.00959
2882.7	0.00942
2893.7	0.00941
2906.9	0.00961
2921.4	0.01002
2936.6	0.0104
2948.4	0.01037
2960	0.00986
2971	0.00911
2983.4	0.00859
2995.9	0.00885
3007.3	0.00972
3018.8	0.01113
3029.3	0.01325
3039.3	0.01868
3049.4	0.02562
3059.5	0.03454
3069.5	0.04335
3079.5	0.05214
3089.8	0.06105
3100	0.06992
3110.2	0.07864
3120.5	0.08735
3130.6	0.09585
3140.8	0.10442
3151.1	0.11297
3161.2	0.12129
3171.5	0.1297
3182	0.13817
3192.6	0.14665
3203.1	0.15505
3213.6	0.16329
3223.8	0.17128
3234.6	0.17967
3245.1	0.18773
3255.1	0.19538
3265.7	0.20334
3276.7	0.21162
3287.1	0.21936
3298	0.22738
3308.1	0.23476
3318.6	0.24237
3329.5	0.25022
3340.8	0.25833
3351.2	0.26563
3361.8	0.27314
3372.9	0.28085
3384.4	0.28878
3394.5	0.29575
3405	0.30288
3415.7	0.31017
3426.9	0.31764
3438.3	0.32528
3450.1	0.3331
3460.3	0.33975
3470.7	0.34653
3481.3	0.35344
3492.3	0.36048
3503.5	0.36766
3515.1	0.37497
3526.9	0.38242
3539.1	0.39002
3551.6	0.39775
3561.8	0.40405
3572.3	0.41043
3583	0.41692
3593.9	0.4235
3605.1	0.43018
3616.5	0.43695
3628.2	0.44383
3640.1	0.45081
3652.3	0.45789
3664.8	0.46507
3677.7	0.47235
3690.8	0.47974
3700.8	0.48535
3711.1	0.49101
3721.5	0.49673
3732.1	0.5025
3742.9	0.50832
3753.9	0.51418
3765.2	0.52008
3776.6	0.52599
3788.1	0.53189
3799.7	0.53769
3811	0.54317
3821.1	0.54787
3831.1	0.51539
3841.1	0.02709
3851.1	0.004
3861.1	0.00268
3871.3	0.00266
3881.4	0.00275
3892.2	0.00286
3903.8	0.003
3914.8	0.00315
3926.8	0.00333
3937.2	0.0035
3948.4	0.0037
3960.4	0.00393
3973.3	0.00419
3983.6	0.0044
3994.5	0.00464
4005.9	0.0049
4018	0.00518
4030.9	0.00548
4044.4	0.00581
4058.8	0.00615
4068.8	0.00639
4079.2	0.00663
4090	0.00688
4101.3	0.00713
4113	0.00737
4125.1	0.00761
4137.7	0.00785
4150.8	0.00806
4164.2	0.00826
4178.1	0.00843
4192.3	0.00858
4206.7	0.0087
4221.2	0.0088
4235.9	0.00888
4250.5	0.00894
4265.2	0.00898
4280	0.00902
4294.8	0.00905
4309.8	0.00908
4325	0.0091
4340.5	0.00912
4356.4	0.00914
4372.8	0.00915
4389.8	0.00916
4407.5	0.00918
4426.2	0.00919
4445.9	0.0092
4466.9	0.00921
4489.3	0.00922
4513.4	0.00924
4539.4	0.00925
4567.7	0.00927
4598.5	0.00928
4632	0.0093
4668.5	0.00932
4708.2	0.00934
4750.8	0.00936
4796.2	0.00938
4843.6	0.0094
4892.4	0.00943
4941.6	0.00945
4990.6	0.00948
5038.4	0.00949
5084.6	0.00952
5128.3	0.00953
5169.3	0.00957
5207.1	0.00954
5241.2	0.00962
5271.7	0.00961
5299	0.00952
5322.9	0.00962
5344.1	0.00978
5362.6	0.00973
5378.9	0.0095
5393.1	0.00937
5405.5	0.00943
5416.4	0.00965
5430.2	0.01002
5441.3	0.01025
5452.5	0.01024
5462.9	0.00989
5473.6	0.00928
5484	0.00881
5495.1	0.00876
5506	0.00924
5517.1	0.01014
5527.6	0.0113
5537.9	0.01287
5547.9	0.01614
5557.9	0.02255
5568	0.03127
5578.1	0.04025
5588.3	0.04919
5598.5	0.05804
5608.7	0.06687
5618.9	0.07567
5629	0.08432
5639.2	0.09293
5649.5	0.1016
5660	0.11032
5670.4	0.11892
5680.5	0.12718
5690.7	0.1355
5701	0.14381
5711.3	0.15207
5721.5	0.16016
5732.4	0.1687
5743	0.17699
5753.3	0.18496
5764.1	0.19329
5774.5	0.2012
5785.4	0.20944
5795.7	0.21714
5806.4	0.22513
5817.7	0.23341
5828.1	0.24103
5838.9	0.2489
5850.2	0.25703
5860.4	0.26436
5871.1	0.27189
5882.1	0.27964
5893.5	0.28761
5903.6	0.29462
5914	0.3018
5924.7	0.30916
5935.8	0.31669
5947.2	0.3244
5959	0.33229
5969.1	0.33902
5979.5	0.34588
5990.1	0.35288
6001	0.36001
6012.2	0.36729
6023.7	0.37471
6035.5	0.38228
6047.7	0.39
6060.1	0.39787
6070.3	0.40428
6080.7	0.41079
6091.4	0.4174
6102.3	0.42412
6113.4	0.43094
6124.7	0.43787
6136.3	0.44491
6148.2	0.45206
6160.3	0.45932
6172.7	0.4667
6185.4	0.47419
6198.4	0.4818
6211.6	0.48953
6221.8	0.49541
6232.1	0.50135
6242.5	0.50737
6253.2	0.51345
6264.1	0.51961
6275.1	0.52584
6286.3	0.53214
6297.8	0.53852
6309.4	0.54497
6321.3	0.5515
6333.3	0.5581
6345.6	0.56478
6358.1	0.57154
6370.9	0.57837
6383.8	0.58529
6397.1	0.59228
6410.6	0.59935
6424.3	0.6065
6438.4	0.61373
6452.7	0.62103
6467.4	0.62837
6482.3	0.63573
6497.1	0.64292
6508.5	0.64828
6518.7	0.65278
6528.7	0.14969
6538.7	0.00928
6548.8	0.00299
6558.9	0.00261
6569.8	0.00267
6579.9	0.00276
6590.2	0.00287
6602.3	0.00302
6613.6	0.00318
6626	0.00337
6636.8	0.00355
6648.3	0.00375
6660.7	0.00399
6674	0.00426
6684.6	0.00449
6695.9	0.00474
6707.8	0.00501
6720.5	0.0053
6733.9	0.00561
6748.2	0.00594
6758.2	0.00617
6768.7	0.00641
6779.6	0.00666
6790.9	0.0069
6802.8	0.00715
6815.2	0.00739
6828.2	0.00763
6841.8	0.00786
6856	0.00806
6870.8	0.00825
6886.2	0.00841
6902	0.00854
6918.2	0.00865
6934.8	0.00874
6951.6	0.00881
6968.6	0.00886
6985.9	0.0089
7003.5	0.00894
7021.4	0.00897
7039.8	0.00899
7058.6	0.00901
7078.1	0.00903
7098.4	0.00904
7119.6	0.00906
7141.8	0.00907
7165.3	0.00909
7190.3	0.0091
7217	0.00912
7245.5	0.00914
7276.3	0.00915
7309.5	0.00917
7345.3	0.00919
7384	0.00921
7425.6	0.00923
7470	0.00926
7517.1	0.00928
7566.2	0.00931
7616.8	0.00933
7668.2	0.00936
7719.5	0.00938
7770.1	0.00941
7819.5	0.00943
7867.1	0.00945
7912.6	0.00948
7955.7	0.00949
7996.2	0.00951
8034	0.00953
8069	0.00954
8101.2	0.00956
8130.6	0.00957
8157.3	0.00957
8181.2	0.00959
8202.7	0.00961
8221.8	0.00961
8238.6	0.0096
8253.4	0.0096
8266.5	0.00962
8277.9	0.00964
8287.9	0.00967
8300.7	0.00968
8311.3	0.00967
8322.8	0.00964
8334.3	0.00959
8345.4	0.00958
8356.6	0.0096
8367.5	0.00967
8377.8	0.00975
8390	0.00982
8402.6	0.00982
8415.2	0.00969
8427	0.00952
8441.8	0.0094
8454.1	0.0095
8468.2	0.00984
8483	0.01028
8494.9	0.01044
8507.7	0.01014
8518.6	0.00947
8529.5	0.00879
8542.8	0.00862
8555.5	0.00931
8567.7	0.01059
8578.1	0.01228
8588.1	0.01579
8598.1	0.02224
8608.2	0.03094
8618.3	0.03988
8628.3	0.04868
8638.4	0.05748
8648.5	0.0662
8658.6	0.07491
8668.6	0.08347
8678.7	0.09198
8688.9	0.10056
8699.3	0.10918
8709.6	0.11768
8720.1	0.12633
8730.3	0.13458
8740.5	0.14282
8750.8	0.151
8760.9	0.15902
8771.6	0.16746
8782.2	0.17566
8792.4	0.18354
8803.1	0.19178
8813.4	0.19959
8824.2	0.20772
8834.4	0.21532
8845	0.22319
8856.2	0.23135
8866.5	0.23885
8877.2	0.2466
8888.3	0.25459
8898.4	0.26179
8908.9	0.26919
8919.8	0.27679
8931	0.28461
8942.7	0.29264
8953	0.29969
8963.7	0.30692
8974.6	0.31431
8985.9	0.32187
8997.6	0.32961
9009.6	0.33753
9019.9	0.34426
9030.5	0.35113
9041.4	0.35813
9052.5	0.36526
9063.9	0.37253
9075.7	0.37993
9087.7	0.38748
9100.1	0.39516
9110.3	0.40142
9120.6	0.40777
9131.2	0.41421
9142.1	0.42075
9153.1	0.42739
9164.4	0.43413
9176	0.44096
9187.8	0.4479
9200	0.45493
9212.3	0.46207
9225	0.46932
9238	0.47666
9251.3	0.4841
9261.5	0.48975
9271.9	0.49546
9282.5	0.50122
9293.2	0.50703
9304.2	0.51288
9315.4	0.51877
9326.8	0.52469
9338.3	0.53059
9349.9	0.53643
9361.3	0.54201
9371.5	0.54681
9381.5	0.55035
9391.5	0.05382
9401.5	0.00524
9411.5	0.00275
9421.9	0.00265
9432.7	0.00273
9443	0.00284
9454.3	0.00297
9465	0.00311
9476.8	0.00329
9487	0.00345
9498	0.00364
9509.8	0.00386
9522.4	0.00411
9532.5	0.00432
9543.1	0.00455
9554.3	0.0048
9566.2	0.00507
9578.8	0.00537
9592	0.00568
9606.1	0.00602
9621	0.00637
9631.4	0.00662
9642.2	0.00686
9653.4	0.00711
9665	0.00736
9677.1	0.0076
9689.7	0.00783
9702.7	0.00805
9716.2	0.00825
9730.1	0.00843
9744.2	0.00857
9758.6	0.0087
9773.2	0.00879
9787.8	0.00887
9802.4	0.00893
9817.1	0.00898
9831.8	0.00902
9846.7	0.00905
9861.6	0.00908
9876.8	0.0091
9892.3	0.00912
9908.1	0.00913
9924.5	0.00915
9941.5	0.00916
9959.2	0.00917
9977.8	0.00919
9997.4	0.0092
10018	0.00921
10041	0.00922
10065	0.00924
10091	0.00925
10119	0.00927
10149	0.00928
10183	0.0093
10219	0.00932
10258	0.00934
10301	0.00936
10346	0.00938
10393	0.0094
10442	0.00943
10491	0.00945
10540	0.00948
10588	0.00949
10635	0.00952
10679	0.00953
10720	0.00957
10758	0.00954
10792	0.00961
10823	0.00962
10850	0.00952
10874	0.00961
10896	0.00978
10914	0.00974
10931	0.00952
10945	0.00937
10958	0.00942
10969	0.00963
10982	0.01001
10994	0.01025
11005	0.01024
11015	0.0099
11026	0.00929
11037	0.00881
11048	0.00876
11059	0.00923
11070	0.01012
11080	0.01127
11090	0.01284
11100	0.01605
11111	0.02242
11121	0.0311
11131	0.04
11141	0.04891
11151	0.05769
11161	0.06646
11171	0.0752
11181	0.08379
11191	0.09235
11202	0.10096
11212	0.10962
11222	0.11816
11232	0.12637
11242	0.13463
11253	0.14289
11263	0.15109
11273	0.15913
11284	0.16761
11294	0.17585
11304	0.18376
11315	0.19204
11326	0.1999
11336	0.20808
11347	0.21574
11357	0.22367
11368	0.2319
11379	0.23947
11389	0.24729
11401	0.25536
11411	0.26265
11421	0.27013
11432	0.27783
11444	0.28575
11454	0.29272
11464	0.29985
11475	0.30716
11486	0.31464
11497	0.3223
11509	0.33015
11519	0.33683
11529	0.34365
11539	0.3506
11550	0.35769
11561	0.36492
11573	0.37229
11584	0.37981
11596	0.38748
11609	0.39531
11619	0.40167
11629	0.40814
11640	0.41471
11651	0.42139
11662	0.42817
11673	0.43506
11684	0.44205
11696	0.44916
11708	0.45637
11720	0.4637
11733	0.47115
11746	0.47871
11759	0.48639
11769	0.49223
11779	0.49814
11790	0.50412
11800	0.51016
11811	0.51628
11822	0.52247
11833	0.52874
11844	0.53507
11856	0.54148
11868	0.54797
11880	0.55453
11892	0.56117
11904	0.56789
11917	0.57468
11930	0.58155
11943	0.5885
11956	0.59553
11970	0.60264
11984	0.60983
11998	0.61709
12012	0.62441
12027	0.63177
12042	0.63909
12056	0.64602
12067	0.65067
12077	0.60386
12087	0.03076
12097	0.00423
12107	0.00267
12117	0.00263
12128	0.00272
12138	0.00282
12150	0.00296
12161	0.0031
12173	0.00327
12183	0.00344
12194	0.00362
12206	0.00384
12218	0.00409
12229	0.0043
12239	0.00453
12251	0.00479
12263	0.00506
12276	0.00535
12289	0.00567
12304	0.00601
12314	0.00624
12324	0.00648
12335	0.00673
12347	0.00697
12359	0.00722
12372	0.00746
12385	0.0077
12398	0.00792
12413	0.00812
12428	0.0083
12443	0.00845
12459	0.00858
12476	0.00868
12492	0.00876
12509	0.00882
12526	0.00888
12544	0.00891
12561	0.00895
12579	0.00897
12598	0.009
12617	0.00901
12637	0.00903
12657	0.00905
12679	0.00906
12701	0.00908
12725	0.00909
12751	0.00911
12778	0.00912
12807	0.00914
12838	0.00916
12872	0.00918
12909	0.0092
12949	0.00922
12991	0.00924
13036	0.00927
13084	0.00929
13134	0.00932
13185	0.00934
13236	0.00937
13287	0.00939
13337	0.00942
13386	0.00944
13433	0.00946
13478	0.00948
13520	0.0095
13560	0.00952
13597	0.00953
13631	0.00955
13663	0.00957
13691	0.00957
13717	0.00958
13740	0.0096
13761	0.00961
13780	0.00961
13796	0.0096
13810	0.0096
13823	0.00962
13834	0.00965
13848	0.00968
13859	0.00968
13872	0.00965
13882	0.00961
13892	0.00958
13902	0.00958
13913	0.00962
13925	0.0097
13935	0.00979
13946	0.00983
13957	0.00981
13970	0.00966
13982	0.00948
13998	0.0094
14011	0.00957
14025	0.00997
14040	0.01037
14052	0.01041
14064	0.00995
14075	0.00921
14087	0.00862
14098	0.00871
14109	0.00937
14119	0.01042
14129	0.012
14139	0.01501
14149	0.02118
14160	0.02977
14170	0.03869
14180	0.04751
14190	0.05639
14200	0.0652
14210	0.07405
14221	0.08281
14231	0.09161
14241	0.10015
14251	0.10873
14262	0.11719
14272	0.12581
14282	0.13402
14292	0.14223
14303	0.15037
14313	0.15835
14323	0.16676
14334	0.17493
14344	0.18277
14355	0.19098
14365	0.19875
14376	0.20685
14386	0.21442
14396	0.22226
14408	0.23039
14418	0.23786
14428	0.24557
14440	0.25353
14450	0.2607
14460	0.26807
14471	0.27564
14482	0.28342
14494	0.29142
14504	0.29845
14514	0.30564
14525	0.313
14537	0.32053
14548	0.32824
14560	0.33613
14570	0.34284
14581	0.34968
14592	0.35665
14603	0.36375
14614	0.37099
14626	0.37836
14638	0.38588
14650	0.39354
14660	0.39977
14671	0.40609
14681	0.41251
14692	0.41903
14703	0.42564
14714	0.43235
14726	0.43916
14737	0.44607
14749	0.45308
14762	0.46019
14774	0.4674
14787	0.47472
14801	0.48214
14811	0.48777
14821	0.49346
14831	0.4992
14842	0.50499
14853	0.51083
14864	0.51671
14875	0.52262
14887	0.52853
14899	0.5344
14910	0.54011
14921	0.54528
14931	0.54992
14941	0.1414
14951	0.0086
14961	0.00296
14972	0.00264
14982	0.0027
14993	0.00281
15003	0.00293
15014	0.00306
15025	0.00322
15038	0.00342
15048	0.0036
15060	0.00381
15073	0.00406
15086	0.00434
15097	0.00457
15108	0.00482
15120	0.00509
15132	0.00539
15146	0.00571
15160	0.00604
15175	0.0064
15185	0.00664
15196	0.00689
15207	0.00714
15219	0.00738
15231	0.00763
15244	0.00786
15257	0.00807
15270	0.00827
15284	0.00844
15298	0.00859
15313	0.00871
15327	0.0088
15342	0.00888
15357	0.00894
15371	0.00899
15386	0.00903
15401	0.00906
15416	0.00908
15431	0.0091
15447	0.00912
15462	0.00914
15479	0.00915
15496	0.00916
15514	0.00918
15532	0.00919
15552	0.0092
15573	0.00921
15596	0.00923
15620	0.00924
15646	0.00925
15674	0.00927
15705	0.00928
15739	0.0093
15776	0.00932
15815	0.00934
15858	0.00936
15904	0.00939
15951	0.00941
16000	0.00943
16049	0.00945
16098	0.00948
16146	0.0095
16192	0.00952
16236	0.00953
16276	0.00957
16314	0.00954
16348	0.00962
16378	0.00961
16406	0.00952
16429	0.00963
16450	0.00978
16469	0.00972
16485	0.00949
16499	0.00936
16511	0.00944
16522	0.00966
16536	0.01003
16547	0.01026
16558	0.01024
