Time/s	Absorbance (460 nm)
10.393	0.00356
21.269	0.00392
31.285	0.00432
41.391	0.00474
53.869	0.00522
64.891	0.0056
75.626	0.00589
86.499	0.00608
97.052	0.0061
107.09	0.00588
117.89	0.00538
128.5	0.00475
138.58	0.00423
149.11	0.00393
159.95	0.00388
170.98	0.00404
181.76	0.00432
192.87	0.00468
205.45	0.00513
215.59	0.00549
225.61	0.00584
236.47	0.00621
246.47	0.00651
257.29	0.00677
267.49	0.00688
278.09	0.00671
288.96	0.00605
299.71	0.005
310.33	0.00408
321.1	0.00358
331.19	0.00351
341.71	0.00369
352.61	0.00404
362.89	0.00444
373.17	0.00486
383.89	0.00529
394.55	0.00569
405.58	0.00607
415.76	0.00636
426.27	0.00657
436.63	0.00661
447.48	0.00632
457.67	0.00566
467.94	0.00477
478.07	0.00405
488.51	0.00367
499.29	0.00363
509.6	0.00382
520.06	0.00415
531.43	0.00457
542.52	0.00501
554.13	0.00547
564.31	0.00585
575.03	0.00622
585.82	0.00656
596.54	0.00682
606.75	0.00693
617.44	0.00673
627.78	0.00605
637.98	0.00503
648.07	0.00411
658.23	0.00359
668.43	0.00348
679.13	0.00364
689.22	0.00396
700.13	0.00437
712.41	0.00487
723.17	0.0053
734.01	0.00569
744.29	0.00603
755.24	0.00631
766.02	0.00645
776.26	0.00638
787.21	0.00596
798.22	0.00518
808.37	0.00442
818.55	0.0039
829.45	0.00369
840.3	0.00378
851.04	0.00404
862.49	0.00443
875.26	0.00492
885.75	0.00533
895.93	0.00572
906.37	0.0061
916.57	0.00645
926.98	0.00679
937.31	0.00706
947.83	0.00719
957.97	0.00703
968.26	0.00634
979.05	0.00512
989.6	0.00403
999.91	0.00347
1010.3	0.00337
1021.1	0.00357
1031.8	0.00394
1042.6	0.00437
1055	0.00487
1066.3	0.0053
1076.4	0.00564
1087	0.00592
1098.1	0.0061
1109.3	0.00608
1119.3	0.00582
1130.5	0.00526
1141.3	0.00461
1151.6	0.00412
1162.6	0.00388
1173.2	0.0039
1184.2	0.0041
1195.4	0.00442
1207.6	0.00483
1219.5	0.00526
1229.7	0.00563
1240	0.00598
1250.2	0.00631
1260.8	0.00662
1270.8	0.00683
1281.5	0.00688
1292	0.00658
1302	0.00584
1312.2	0.00483
1322.2	0.00399
1332.5	0.00356
1343	0.00351
1353.3	0.00371
1364.2	0.00407
1374.7	0.00448
1385.1	0.00491
1395.5	0.00532
1405.9	0.00571
1416.8	0.00608
1427.1	0.00637
1437.8	0.00657
1448.8	0.00656
1460.2	0.00616
1470.9	0.00538
1481.7	0.00448
1492.4	0.00386
1502.8	0.00363
1513	0.00369
1524.1	0.00395
1534.5	0.00431
1545.7	0.00474
1556.9	0.00518
1566.9	0.00557
1577.4	0.00596
1587.5	0.00631
1598	0.00663
1608.4	0.00688
1618.5	0.00697
1629.2	0.00675
1640.1	0.00597
1650.8	0.00486
1661.3	0.00395
1671.9	0.00351
1682	0.00347
1692.1	0.00368
1702.6	0.00403
1714.6	0.0045
1725.2	0.00493
1735.6	0.00534
1746.2	0.00572
1756.5	0.00604
1766.7	0.00628
1776.9	0.0064
1788.1	0.00627
1799.2	0.00578
1810	0.00501
1820.2	0.00431
1830.4	0.00386
1840.6	0.00372
1850.8	0.00382
1861.8	0.00409
1873.8	0.0045
1884.3	0.00489
1895.1	0.00531
1905.5	0.0057
1916.1	0.00609
1926.3	0.00645
1936.7	0.00678
1946.9	0.00706
1957.2	0.00723
1967.5	0.00712
1977.8	0.00651
1987.9	0.0054
1998.4	0.00421
2008.7	0.00353
2018.7	0.00335
2029.5	0.00349
2040.4	0.00384
2051.7	0.00428
2062.8	0.00474
2074.6	0.00519
2085.9	0.00558
2097.1	0.00588
2107.2	0.00605
2118.6	0.00605
2129	0.00581
2139.2	0.00533
2149.3	0.00474
2160	0.00421
2170.1	0.00394
2180.6	0.0039
2191.1	0.00404
2201.2	0.00429
2213.7	0.00469
2225.8	0.00512
2236.4	0.00549
2246.5	0.00584
2256.6	0.00617
2267	0.00648
2277.5	0.00671
2288.5	0.0068
2299	0.00657
2309.8	0.00587
2320.5	0.00487
2330.9	0.00403
2341.5	0.0036
2351.6	0.00355
2362.2	0.00374
2373.3	0.00411
2384.2	0.00453
2394.9	0.00496
2406.8	0.00543
2417.3	0.00583
2428.2	0.0062
2438.5	0.00651
2449.1	0.00673
2459.5	0.00678
2470.6	0.00645
2480.9	0.0057
2491.3	0.00471
2501.5	0.00394
2512.1	0.00357
2522.2	0.00356
2533	0.00379
2543.3	0.00413
2554.4	0.00456
2565.4	0.005
2577.1	0.00546
2587.5	0.00584
2597.7	0.00617
2608.5	0.00647
2618.9	0.00664
2630	0.00658
2641.1	0.00612
2651.2	0.00532
2661.7	0.00443
2672.2	0.00382
2682.4	0.0036
2692.4	0.00367
2703.4	0.00394
2713.7	0.00429
2724.6	0.00472
2735.8	0.00516
2746	0.00556
2756.6	0.00595
2766.9	0.0063
2777.5	0.00662
2788.3	0.00685
2799.3	0.00688
2810	0.00652
2820.6	0.00566
2831.2	0.00459
2841.8	0.00381
2851.9	0.00351
2862.6	0.00354
2873.6	0.00381
2884.3	0.0042
2896.6	0.00469
2907.9	0.00514
2918.5	0.00555
2929.8	0.00593
2939.9	0.00623
2950.2	0.00644
2961.4	0.00649
