Time/s	Absorbance (460 nm)
10.165	0.00475
21.003	0.00515
31.634	0.0057
43.947	0.0064
54.762	0.00699
65.343	0.0075
75.417	0.00791
85.521	0.00818
96.607	0.00822
108.24	0.00777
119.25	0.00685
130.15	0.00586
140.93	0.00526
151.84	0.00512
162.02	0.00533
172.25	0.00573
183.26	0.00626
194.64	0.00685
206.01	0.00743
216.43	0.00795
226.51	0.00841
236.81	0.00882
247.35	0.00911
257.48	0.00909
268.38	0.00843
278.4	0.0071
289.05	0.00563
299.61	0.00482
310.21	0.0047
321.06	0.00502
332.41	0.00559
344.93	0.00629
355.62	0.00688
366.87	0.00744
377.4	0.00788
387.84	0.00817
399.2	0.00822
410.74	0.00779
421.46	0.00692
432	0.00595
442.36	0.00531
452.65	0.00512
463.1	0.00527
473.78	0.00567
486.02	0.00626
497.06	0.00683
508.56	0.00742
519.33	0.00795
529.53	0.00841
539.97	0.00883
550.67	0.00911
561.11	0.00907
571.99	0.00835
582.55	0.00691
592.84	0.00553
603.01	0.0048
613.31	0.0047
623.94	0.00502
635.06	0.00557
647.19	0.00626
657.85	0.00685
669.32	0.00742
679.95	0.00786
690.44	0.00817
701.76	0.00823
713.25	0.00781
724	0.00695
734.52	0.00597
744.83	0.00532
755	0.00512
765.27	0.00526
775.61	0.00562
787.09	0.00616
798.05	0.00673
808.73	0.00728
819.29	0.00781
830.05	0.00831
840.75	0.00875
851.47	0.00907
862.34	0.00911
873.16	0.00852
883.18	0.00725
893.6	0.00577
903.87	0.00489
913.94	0.00468
924.86	0.00494
935.03	0.00542
945.22	0.00598
955.46	0.00656
967.09	0.00718
977.79	0.00767
988.67	0.00805
999.28	0.00824
1009.3	0.00813
1020.6	0.0075
1031.3	0.00653
1042.1	0.00562
1052.2	0.00518
1062.7	0.00515
1072.8	0.0054
1083.4	0.00584
1095.1	0.00642
1105.6	0.00697
1116	0.0075
1126.3	0.008
1136.3	0.00846
1146.6	0.00886
1157.4	0.00913
1168.2	0.00903
1178.9	0.00822
1189.3	0.00676
1199.4	0.00544
1209.5	0.00478
1219.8	0.00472
1230.6	0.00506
1242.2	0.00565
1252.5	0.00624
1263.2	0.00683
1273.2	0.00734
1284.3	0.00781
1294.8	0.00814
1305.9	0.00824
1317.1	0.00792
1327.2	0.00719
1338.1	0.00616
1348.5	0.00542
1358.6	0.00513
1369.6	0.00522
1381	0.00561
1392.2	0.00613
1403.1	0.00669
1414	0.00726
1424.7	0.00779
1435.6	0.0083
1446.3	0.00874
1457	0.00907
1467.8	0.00912
1478.6	0.00855
1488.7	0.00728
1499.1	0.00579
1509.4	0.0049
1519.4	0.00468
1530.3	0.00493
1540.3	0.00539
1552.5	0.00607
1563	0.00666
1574	0.00724
1584.4	0.0077
1595.2	0.00808
1605.9	0.00825
1616.2	0.00809
1627.2	0.00743
1637.7	0.00646
1648.5	0.00558
1658.6	0.00517
1669.1	0.00516
1679.4	0.00543
1690.3	0.0059
1702.7	0.00652
1712.8	0.00705
1723.9	0.00761
1734.6	0.00813
1745	0.00858
1755.2	0.00895
1765.3	0.00915
1775.7	0.00895
1786.2	0.00803
1796.3	0.00657
1806.4	0.00532
1816.4	0.00474
1826.9	0.00474
1837	0.00509
1847.3	0.00562
1857.3	0.00618
1868	0.00678
1878.3	0.00731
1889.6	0.00779
1900.2	0.00813
1911.1	0.00824
1922.2	0.00795
1932.4	0.00723
1942.5	0.00628
1953	0.00548
1963.1	0.00514
1973.9	0.00519
1984.7	0.00552
1994.9	0.00598
2005	0.00649
2015.3	0.00703
2026.5	0.0076
2037.3	0.00812
2047.8	0.00858
2057.9	0.00894
2068	0.00915
2078.4	0.00896
2088.9	0.00805
2099.1	0.00659
2109.1	0.00533
2119.1	0.00475
2129.6	0.00474
2139.7	0.00508
2149.9	0.0056
2162.3	0.0063
2172.9	0.00688
2184.1	0.00744
2194.6	0.00788
2205.1	0.00817
2216.5	0.00822
2228.1	0.00779
2238.7	0.00692
2249.1	0.00595
2259.4	0.00532
2269.6	0.00512
2279.9	0.00526
2290.3	0.00564
2301.9	0.00619
2312.9	0.00676
2323.4	0.0073
2333.8	0.00782
2344.6	0.00832
2355.3	0.00876
2366	0.00908
2376.9	0.00911
2387.7	0.0085
2398.5	0.0071
2408.8	0.00566
2419	0.00485
2429.1	0.00469
2439.3	0.00495
2449.5	0.00543
2459.8	0.006
2470.1	0.00658
2481.6	0.00719
2492.3	0.00767
2503.1	0.00806
2513.8	0.00824
2523.9	0.00812
2535.1	0.00749
2545.7	0.00651
2556.6	0.00562
2566.7	0.00518
2577.2	0.00515
2587.3	0.00541
2597.9	0.00585
2609.7	0.00644
2620.2	0.00698
2630.4	0.00751
2640.7	0.00801
2650.7	0.00846
2661.1	0.00886
2671.8	0.00913
2682.6	0.00903
2693.4	0.00821
2703.7	0.00675
2713.8	0.00543
2723.9	0.00477
2734.2	0.00472
2745	0.00506
2755	0.00557
2767	0.00624
2777.7	0.00683
2789.2	0.00741
2799.9	0.00786
