Time /s	Absorbance (460 nm)
10.629	0.0078
21.287	0.0079
32.335	0.00767
43.136	0.007
53.96	0.00604
64.195	0.00527
74.752	0.00488
84.813	0.00486
95.58	0.00511
107.29	0.00556
117.67	0.00602
128.54	0.00651
139.16	0.00697
150.26	0.0074
160.78	0.00772
171.14	0.00789
182.28	0.00779
193.37	0.00724
203.67	0.00638
214.28	0.00549
224.88	0.00496
235.61	0.00484
245.67	0.00501
255.75	0.00535
266.45	0.0058
277.94	0.00632
288.58	0.0068
299.61	0.00725
310.58	0.00762
320.83	0.00785
330.89	0.00789
341.22	0.00759
351.55	0.00688
361.97	0.00595
372	0.00523
382.46	0.00487
392.53	0.00487
403.45	0.00514
415.59	0.00561
426.4	0.0061
436.83	0.00657
447.01	0.007
457.96	0.00742
468.45	0.00774
478.88	0.0079
490.33	0.00776
501.34	0.00717
511.37	0.00631
521.83	0.00545
532.35	0.00494
543.09	0.00484
553.23	0.00502
563.51	0.00538
574.63	0.00586
586.07	0.00638
596.3	0.00683
607.14	0.00727
618.06	0.00763
628.33	0.00786
638.52	0.00788
649.04	0.00754
659.17	0.00682
669.45	0.0059
680.36	0.00515
690.81	0.00485
701.05	0.00489
712.45	0.00521
723.47	0.00565
734.54	0.00615
744.65	0.00661
755.89	0.00708
766.48	0.00748
776.88	0.00777
787.46	0.0079
798	0.00774
808.94	0.00712
819.94	0.00617
830.19	0.00536
840.66	0.00491
851.51	0.00485
862	0.00508
873.08	0.00549
885.64	0.00604
896.4	0.00653
906.91	0.00698
918	0.00741
928.53	0.00773
938.95	0.0079
950.26	0.00778
961.3	0.00721
971.43	0.00635
981.92	0.00548
992.44	0.00495
1003.1	0.00484
1013.2	0.00501
1023.3	0.00535
1034	0.00581
1045.4	0.00633
1056.1	0.0068
1067.1	0.00725
1078.1	0.00762
1088.4	0.00786
1098.5	0.00788
1108.9	0.00757
1119.2	0.00686
1129.5	0.00594
1140.4	0.00517
1150.9	0.00485
1161.1	0.00489
1172.3	0.00519
1183	0.00561
1193.8	0.0061
1204.3	0.00657
1214.5	0.00701
1225.4	0.00742
1235.9	0.00774
1246.4	0.0079
1257.9	0.00776
1268.9	0.00716
1280	0.0062
1290.3	0.00538
1300.7	0.00492
1311.6	0.00485
1321.9	0.00506
1332.8	0.00546
1345	0.00599
1356	0.00649
1366.8	0.00696
1376.9	0.00735
1387.6	0.00769
1397.9	0.00789
1408.7	0.00783
1419.7	0.00735
1430.3	0.00649
1441	0.00557
1451.6	0.00499
1462.2	0.00483
1473.2	0.005
1484.8	0.0054
1496.1	0.00589
1507.5	0.0064
1517.6	0.00684
1528.3	0.00728
1539.2	0.00764
1549.5	0.00786
1559.8	0.00787
1570.4	0.00752
1580.4	0.00679
1590.6	0.00588
1601.5	0.00514
1611.9	0.00485
1622.2	0.0049
1632.2	0.00517
1642.6	0.00558
1653.2	0.00605
1663.9	0.00653
1674.4	0.00698
1685.5	0.00741
1696	0.00773
1706.4	0.0079
1717.8	0.00778
1728.8	0.0072
1738.9	0.00634
1749.4	0.00547
1759.9	0.00495
1770.6	0.00484
1780.7	0.00501
1790.8	0.00536
1801.5	0.00581
1813	0.00634
1823.6	0.0068
1834.6	0.00725
1845.6	0.00762
1855.9	0.00786
1866	0.00788
1876.4	0.00757
1886.6	0.00685
1897	0.00593
1907.9	0.00517
1918.4	0.00485
1928.5	0.00489
1939.8	0.00519
1950.6	0.00562
1961.4	0.0061
1971.8	0.00657
1982	0.00701
1992.9	0.00743
2003.4	0.00774
2013.9	0.0079
2023.9	0.0078
2034.9	0.00726
2045.2	0.0064
2055.8	0.00551
2066.3	0.00497
2077	0.00483
2088.2	0.00503
2098.5	0.00539
2109.7	0.00587
2121.1	0.00639
2131.3	0.00683
2142.1	0.00727
2153	0.00764
2163.3	0.00786
2173.5	0.00788
2184.1	0.00753
2194.2	0.00681
2204.4	0.00589
2215.3	0.00515
2225.7	0.00485
2236	0.0049
2247.4	0.00521
2258.5	0.00566
2269.6	0.00616
2279.7	0.00661
2290.9	0.00709
2301.4	0.00748
2311.8	0.00777
2322.4	0.0079
2333	0.00773
2343.9	0.00711
2354.9	0.00615
2365.1	0.00535
2375.6	0.00491
2386.5	0.00485
2397	0.00508
2408.1	0.0055
2420.8	0.00606
2431.5	0.00654
2441.9	0.00699
2453	0.00741
2463.5	0.00773
2473.9	0.0079
2485.3	0.00777
2496.3	0.00719
2506.4	0.00633
2516.9	0.00547
2527.4	0.00495
2538.1	0.00484
2548.2	0.00501
2558.3	0.00536
2569.1	0.00582
2580.6	0.00634
2591.1	0.00681
2602.1	0.00726
2613.1	0.00763
2623.4	0.00786
2633.5	0.00788
2643.9	0.00756
2654.1	0.00684
2664.5	0.00593
2675.4	0.00517
2685.8	0.00485
2696	0.00489
2707.3	0.00519
2718.1	0.00563
2729	0.00611
2739.4	0.00658
2749.5	0.00701
2760.4	0.00743
2770.9	0.00774
2781.3	0.0079
2791.4	0.0078
2802.4	0.00725
2812.7	0.00639
2823.3	0.00551
2833.8	0.00497
2844.5	0.00483
2855.7	0.00503
2866	0.00539
2877.3	0.00588
2888.7	0.00639
2898.8	0.00684
2909.6	0.00727
2920.5	0.00764
2930.8	0.00786
2941	0.00788
2951.6	0.00752
2961.7	0.0068
2971.9	0.00589
2982.8	0.00515
2993.2	0.00485
3003.5	0.0049
3014.9	0.00522
3026.1	0.00567
3037.3	0.00617
3049.2	0.00671
3059.7	0.00714
3070	0.00752
3080.3	0.0078
3091.1	0.0079
3102.2	0.00766
3112.8	0.00699
3123.5	0.00605
3133.6	0.00529
3144	0.00489
3155	0.00487
3165.8	0.00513
3177.8	0.00559
3188.4	0.00607
3199	0.00655
3209.4	0.00699
3220.4	0.00742
3231	0.00773
3241.4	0.0079
3252.8	0.00777
3263.8	0.00719
3273.9	0.00633
3284.4	0.00546
3294.9	0.00495
3305.6	0.00484
3315.7	0.00502
3325.8	0.00537
3336.7	0.00583
3348.2	0.00635
3358.7	0.00681
3369.6	0.00726
3380.6	0.00763
3390.8	0.00786
3401	0.00788
3411.5	0.00755
3421.7	0.00684
3432	0.00592
3442.9	0.00516
3453.3	0.00485
3463.5	0.00489
3474.9	0.0052
3485.7	0.00563
3496.7	0.00612
3506.9	0.00659
3517	0.00702
3527.9	0.00743
3538.4	0.00774
3548.8	0.0079
3558.9	0.00779
3570	0.00725
3580.2	0.00638
3590.8	0.0055
3601.3	0.00496
3612	0.00483
3623.2	0.00503
3633.6	0.0054
3644.9	0.00589
3656.3	0.0064
3666.3	0.00684
3677.1	0.00728
3688	0.00764
3698.3	0.00786
3708.5	0.00787
3719.1	0.00752
3729.2	0.00679
3739.4	0.00588
3750.2	0.00514
3760.7	0.00485
3771	0.0049
3781	0.00517
3791.4	0.00558
3801.9	0.00605
3812.7	0.00653
3823.1	0.00699
3834.2	0.00741
3844.8	0.00773
3855.2	0.0079
3866.5	0.00778
3877.6	0.0072
3887.7	0.00634
3898.1	0.00547
3908.7	0.00495
3919.4	0.00484
3929.4	0.00501
3939.5	0.00536
3950.3	0.00581
3961.8	0.00634
3972.3	0.0068
3983.4	0.00725
3994.3	0.00763
4004.6	0.00786
4014.8	0.00788
4025.2	0.00757
4035.4	0.00685
4045.7	0.00593
4056.7	0.00517
4067.1	0.00485
4077.3	0.00489
4088.6	0.00519
4099.3	0.00562
4110.2	0.00611
4120.6	0.00658
4130.7	0.00701
4141.7	0.00743
4152.2	0.00774
4162.6	0.0079
4172.6	0.0078
4183.7	0.00726
4194	0.0064
4204.5	0.00551
4215.1	0.00497
4225.7	0.00483
4236.9	0.00503
4247.2	0.00539
4258.4	0.00587
4269.9	0.00639
4280	0.00684
4290.8	0.00727
4301.8	0.00764
4312	0.00786
4322.3	0.00788
4332.8	0.00753
4342.9	0.00681
4353.2	0.00589
4364	0.00515
4374.5	0.00485
4384.7	0.0049
4396.2	0.00521
4407.3	0.00566
4418.4	0.00616
4428.4	0.00662
4439.6	0.00709
4450.2	0.00748
4460.6	0.00777
4471.2	0.0079
4481.8	0.00773
4492.7	0.00711
4503.7	0.00615
4513.9	0.00535
4524.3	0.00491
4535.2	0.00485
4545.7	0.00508
4556.9	0.0055
4569.6	0.00606
4580.2	0.00654
4590.7	0.00699
4601.7	0.00741
4612.2	0.00773
4622.7	0.0079
4634	0.00777
4645.1	0.00719
4655.2	0.00633
4665.6	0.00547
4676.1	0.00495
4686.8	0.00484
4696.9	0.00502
4707.1	0.00536
4717.9	0.00582
4729.4	0.00635
4739.9	0.00681
4750.9	0.00726
4761.8	0.00763
4772.1	0.00786
4782.3	0.00788
4792.7	0.00756
4802.9	0.00684
4813.2	0.00593
4824.2	0.00517
4834.6	0.00485
4844.8	0.00489
4856.1	0.0052
4866.9	0.00563
4877.8	0.00612
4888.1	0.00658
4898.2	0.00701
4909.2	0.00743
4919.6	0.00774
4930.1	0.0079
4940.1	0.0078
4951.2	0.00725
4961.5	0.00639
4972	0.00551
4982.6	0.00497
4993.2	0.00483
5004.4	0.00503
5014.8	0.00539
5026	0.00588
5037.5	0.0064
5047.5	0.00684
5058.3	0.00727
5069.2	0.00764
5079.5	0.00786
5089.8	0.00788
5100.4	0.00752
5110.4	0.0068
5120.6	0.00589
5131.5	0.00515
5142	0.00485
5152.2	0.0049
5163.7	0.00522
5174.9	0.00567
5186	0.00617
5197.9	0.00671
5208.4	0.00714
5218.8	0.00752
5229.1	0.0078
5239.8	0.0079
5250.9	0.00766
5261.6	0.00699
5272.2	0.00605
5282.3	0.00529
5292.8	0.00488
5303.8	0.00487
5314.6	0.00513
5326.5	0.00559
5337.2	0.00607
5347.8	0.00655
5358.2	0.00699
5369.2	0.00742
5379.7	0.00773
5390.2	0.0079
5401.6	0.00777
5412.6	0.00718
5422.7	0.00633
5433.1	0.00546
5443.6	0.00495
5454.3	0.00484
5464.4	0.00502
5474.6	0.00537
5485.5	0.00583
5497	0.00635
5507.4	0.00682
5518.4	0.00726
5529.3	0.00763
5539.6	0.00786
5549.8	0.00788
5560.2	0.00755
5570.4	0.00684
5580.7	0.00592
5591.6	0.00516
5602.1	0.00485
5612.3	0.00489
5623.6	0.0052
5634.5	0.00563
5645.4	0.00613
5655.7	0.00659
5665.7	0.00702
5676.6	0.00743
5687.1	0.00774
5697.6	0.0079
5707.7	0.00779
5718.7	0.00724
5729	0.00638
5739.5	0.0055
5750	0.00496
5760.7	0.00483
5771.9	0.00503
5782.3	0.0054
5793.7	0.00589
5805	0.0064
5815.1	0.00685
5825.8	0.00728
5836.7	0.00764
5847	0.00786
5857.3	0.00787
5867.9	0.00752
5877.9	0.00679
5888.1	0.00588
5899	0.00514
5909.5	0.00485
5919.7	0.0049
5929.7	0.00517
5940.2	0.00558
5950.7	0.00605
5961.4	0.00653
5971.9	0.00699
5983	0.00741
5993.5	0.00773
6003.9	0.0079
6015.3	0.00778
6026.3	0.0072
6036.4	0.00634
6046.9	0.00547
6057.4	0.00495
6068.1	0.00484
6078.2	0.00501
6088.3	0.00536
6099	0.00582
6110.5	0.00634
6121.1	0.00681
6132.1	0.00725
6143.1	0.00763
6153.4	0.00786
6163.5	0.00788
6173.9	0.00757
6184.2	0.00685
6194.5	0.00593
6205.4	0.00517
6215.9	0.00485
6226.1	0.00489
6237.3	0.00519
6248.1	0.00562
6258.9	0.00611
6269.3	0.00658
6279.5	0.00701
6290.4	0.00743
6300.9	0.00774
6311.4	0.0079
6321.4	0.0078
6332.5	0.00726
6342.7	0.0064
6353.3	0.00551
6363.8	0.00497
6374.5	0.00483
6385.7	0.00503
6396	0.00539
6407.2	0.00587
6418.6	0.00639
6428.8	0.00684
6439.6	0.00727
6450.5	0.00764
6460.8	0.00786
6471	0.00788
6481.6	0.00753
6491.7	0.0068
6501.9	0.00589
6512.8	0.00515
6523.2	0.00485
6533.5	0.0049
6544.9	0.00521
6556	0.00566
6567.2	0.00616
6577.2	0.00662
6588.4	0.00709
